titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,boite_vitesse,carburant,url_page,categorie,ville
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 1 jour
Peugeot 3008 2018,Peugeot,2018,3008,6 000 000FCFA,6000000,"Passée, il y a 4 jours",88000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 4 jours
Hyundai Tucson 2016,Hyundai,2016,Tucson,4 000 000FCFA,4000000,"Passée, il y a 4 jours",177000.0,Manuelle,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 4 jours
Kia Sorento 2015,Kia,2015,Sorento,4 000 000FCFA,4000000,"Passée, il y a 4 jours",231000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 4 jours
Kia Sorento 2011,Kia,2011,Sorento,3 000 000FCFA,3000000,"Passée, il y a 4 jours",121000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 4 jours
Renault Captur 2018,Renault,2018,Captur,6 900 000FCFA,6900000,"Passée, il y a 5 jours",170000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 5 jours
Peugeot 3008 2017,Peugeot,2017,3008,6 000 000FCFA,6000000,"Passée, il y a 5 jours",185000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 5 jours
Ford Explorer 2018,Ford,2018,Explorer,6 000 000FCFA,6000000,"Passée, il y a 5 jours",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 5 jours
Peugeot 2008 2018,Peugeot,2008,2018,6 000 000FCFA,6000000,"Passée, il y a 5 jours",184000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 5 jours
Bmw Serie 3 2014,BMW,2014,Serie 3,3 000 000FCFA,3000000,"Passée, il y a 5 jours",74000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 5 jours
Peugeot 3008 2015,Peugeot,2015,3008,6 800 000FCFA,6800000,"Passée, il y a 6 jours",171900.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 6 jours
Peugeot 5008 2019,Peugeot,2019,5008,4 000 000FCFA,4000000,"Passée, il y a 6 jours",80000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 6 jours
Ford Fusion 2016,Ford,2016,Fusion,3 000 000FCFA,3000000,"Passée, il y a 6 jours",76000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 6 jours
Ford Focus 2013,Ford,2013,Focus,1 900 000FCFA,1900000,"Passée, il y a 6 jours",200000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 6 jours
Renault Talisman 2017,Renault,2017,Talisman,8 500 000FCFA,8500000,"Passée, il y a 14 jours",87000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 14 jours
Kia Sportage 2019,Kia,2019,Sportage,6 000 000FCFA,6000000,"Passée, il y a 14 jours",20000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 14 jours
Peugeot 308 2015,Peugeot,2015,308,3 000 000FCFA,3000000,"Passée, il y a 14 jours",221000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 14 jours
Hyundai Santa Fe 2015,Hyundai,2015,Santa Fe,3 000 000FCFA,3000000,"Passée, il y a 14 jours",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,Voitures,il y a 14 jours
Honda CBF 2007,Honda,2007,CBF,1 500 000FCFA,1500000,"Passée, il y a 2 mois",11000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 2 mois
SYM 125S 2023,SYM,2023,125S,620 000FCFA,620000,"Passée, il y a 2 mois",1200.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 2 mois
Yamaha TMax 2023,Yamaha,2023,TMax,4 300 000FCFA,4300000,"Passée, il y a 3 mois",1.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 3 mois
Yamaha X-Max 2025,Yamaha,2025,X-Max,800 000FCFA,800000,"Passée, il y a 3 mois",250.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 3 mois
Honda X-ADV 2021,Honda,2021,X-ADV,810 000FCFA,810000,"Passée, il y a 3 mois",350.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 3 mois
Yamaha Tricker 2025,Yamaha,2025,Tricker,950 000FCFA,950000,"Passée, il y a 4 mois",1.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 4 mois
Yamaha MT 2017,Yamaha,2017,MT,1 800 000FCFA,1800000,"Passée, il y a 4 mois",39000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 4 mois
Haouju Haouju 2024,Haouju,2024,Haouju,580 000FCFA,580000,"Passée, il y a 4 mois",2777.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 4 mois
Suzuki Address 2023,Suzuki,2023,Address,600 000FCFA,600000,"Passée, il y a 4 mois",200.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 4 mois
Yamaha Tracer 2017,Yamaha,2017,Tracer,2 150 000FCFA,2150000,"Passée, il y a 4 mois",50.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 4 mois
Honda XL Transalp 1996,Honda,1996,XL Transalp,1 200 000FCFA,1200000,"Passée, il y a 5 mois",63750.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 5 mois
Piaggio Liberty 2022,Piaggio,2022,Liberty,400 000FCFA,400000,"Passée, il y a 5 mois",,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 5 mois
Honda XRV Africa Twin 2018,Honda,2018,XRV Africa Twin,3 900 000FCFA,3900000,"Passée, il y a 5 mois",12000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 5 mois
Honda CB Hornet 2003,Honda,2003,CB Hornet,1 100 000FCFA,1100000,"Passée, il y a 5 mois",20000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 5 mois
Honda SH 2018,Honda,2018,SH,1 350 000FCFA,1350000,"Passée, il y a 5 mois",32000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 5 mois
Yamaha Majesty 2006,Yamaha,2006,Majesty,300 000FCFA,300000,"Passée, il y a 5 mois",50000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 5 mois
Yamaha TMax 2020,Yamaha,2020,TMax,3 900 000FCFA,3900000,"Passée, il y a 1 année",14000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 1 année
Yamaha X-Max 2020,Yamaha,2020,X-Max,1 200 000FCFA,1200000,"Passée, il y a 1 année",10000.0,Non spécifié,Non spécifié,https://dakar-auto.com/senegal/motos-and-scooters-3,Motos,il y a 1 année
